num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
8,197752,"",38.7864,178838,178838,PP
8,197665,"",38.8718,178838,178838,PP
8,197665,"",38.9509,178838,178838,PP
8,197663,"",39.0239,178838,178838,PP
8,197557,"",39.0989,178838,178838,PP
8,197320,"",39.174,178838,178838,PP
8,197315,"",39.2766,178838,178838,PP
8,197277,"",39.3716,178838,178838,PP
8,197277,"",39.4528,178838,178838,PP
8,197276,"",39.5293,178838,178838,PP
8,197242,"",39.6053,178838,178838,PP
8,197242,"",39.6896,178838,178838,PP
8,197154,"",39.7689,178838,178838,PP
8,197033,"",39.8442,178838,178838,PP
8,196987,"",39.926,178838,178838,PP
8,196986,"",40.0009,178838,178838,PP
8,196970,"",40.0758,178838,178838,PP
8,196940,"",40.153,178838,178838,PP
8,196880,"",40.239,178838,178838,PP
8,196823,"",40.3213,178838,178838,PP
8,196814,"",40.3951,178838,178838,PP
8,196811,"",40.4766,178838,178838,PP
8,196806,"",40.5535,178838,178838,PP
8,196806,"",40.6406,178838,178838,PP
8,196797,"",40.7476,178838,178838,PP
8,196797,"",40.8276,178838,178838,PP
8,196789,"",40.9101,178838,178838,PP
8,196789,"",40.9898,178838,178838,PP
8,196726,"",41.0918,178838,178838,PP
8,196695,"",41.1673,178838,178838,PP
8,196695,"",41.2451,178838,178838,PP
8,196692,"",41.3251,178838,178838,PP
8,196648,"",41.4031,178838,178838,PP
8,196512,"",41.4823,178838,178838,PP
8,196512,"",41.5594,178838,178838,PP
8,196460,"",41.6346,178838,178838,PP
8,196460,"",41.7142,178838,178838,PP
8,196430,"",41.8003,178838,178838,PP
8,196397,"",41.8853,178838,178838,PP
8,196397,"",41.9671,178838,178838,PP
8,196396,"",42.0485,178838,178838,PP
8,196396,"",42.1273,178838,178838,PP
8,196372,"",42.209,178838,178838,PP
8,196371,"",42.2969,178838,178838,PP
8,196362,"",42.4028,178838,178838,PP
8,196332,"",42.483,178838,178838,PP
8,196321,"",42.5557,178838,178838,PP
8,196321,"",42.6355,178838,178838,PP
8,196321,"",42.7106,178838,178838,PP
8,196321,"",42.7824,178838,178838,PP
8,196291,"",42.8613,178838,178838,PP
8,196229,"",42.9454,178838,178838,PP
8,196205,"",43.023,178838,178838,PP
8,196205,"",43.1158,178838,178838,PP
8,196205,"",43.1958,178838,178838,PP
8,196205,"",43.2741,178838,178838,PP
8,196205,"",43.3591,178838,178838,PP
8,196205,"",43.4357,178838,178838,PP
8,196203,"",43.5116,178838,178838,PP
8,196203,"",43.5938,178838,178838,PP
8,196122,"",43.672,178838,178838,PP
8,196109,"",43.7497,178838,178838,PP
8,195930,"",43.8248,178838,178838,PP
8,195817,"",43.9164,178838,178838,PP
8,195815,"",43.9971,178838,178838,PP
8,195809,"",44.0785,178838,178838,PP
8,195783,"",44.1559,178838,178838,PP
8,195783,"",44.2381,178838,178838,PP
8,195726,"",44.3246,178838,178838,PP
8,195714,"",44.4009,178838,178838,PP
8,195611,"",44.4763,178838,178838,PP
8,195554,"",44.5582,178838,178838,PP
8,195437,"",44.645,178838,178838,PP
8,195437,"",44.7279,178838,178838,PP
8,195437,"",44.8042,178838,178838,PP
8,195326,"",44.9087,178838,178838,PP
8,195326,"",44.9891,178838,178838,PP
8,195326,"",45.0651,178838,178838,PP
8,195286,"",45.1431,178838,178838,PP
8,195272,"",45.2251,178838,178838,PP
8,195176,"",45.3121,178838,178838,PP
8,194961,"",45.3975,178838,178838,PP
8,194961,"",45.4828,178838,178838,PP
8,194958,"",45.5591,178838,178838,PP
8,194907,"",45.6374,178838,178838,PP
8,194787,"",45.7154,178838,178838,PP
8,194773,"",45.8014,178838,178838,PP
8,194773,"",45.8805,178838,178838,PP
8,194773,"",45.9589,178838,178838,PP
8,194740,"",46.0379,178838,178838,PP
8,194671,"",46.1209,178838,178838,PP
